Date,Montant Dette,APR,Taux Journalier,Interet Journalier,Interet Cumule,Transaction
2025-01-18,165646633.766315,12.348211%,0.033831%,56020.488967,8385126.522082,
2025-01-19,165693612.850565,10.351774%,0.028361%,46979.084250,8432105.606331,
2025-01-20,165744287.194291,11.162854%,0.030583%,50674.343726,8482779.950057,
2025-01-21,165785982.868716,9.182169%,0.025157%,41695.674425,8524475.624483,
2025-01-22,165831502.661176,10.021791%,0.027457%,45519.792460,8569995.416942,
2025-01-23,165872488.046711,9.021004%,0.024715%,40985.385536,8610980.802478,
2025-01-24,165916431.224251,9.669632%,0.026492%,43943.177539,8654923.980017,
2025-01-25,165961538.123287,9.923079%,0.027187%,45106.899037,8700030.879054,
2025-01-26,166005167.716283,9.595477%,0.026289%,43629.592995,8743660.472049,
2025-01-27,166051470.839053,10.180791%,0.027893%,46303.122770,8789963.594820,
2025-01-28,166097942.895971,10.215086%,0.027987%,46472.056918,8836435.651738,
2025-01-29,166145570.972458,10.466263%,0.028675%,47628.076487,8884063.728224,
2025-01-30,166196050.699057,11.089733%,0.030383%,50479.726599,8934543.454824,
2025-01-31,166251753.944752,12.233555%,0.033517%,55703.245695,8990246.700518,
2025-02-01,166308147.255315,12.380957%,0.033920%,56393.310564,9046640.011082,
2025-02-02,166355535.312465,10.400357%,0.028494%,47388.057150,9094028.068232,
2025-02-03,166408645.123767,11.652802%,0.031925%,53109.811302,9147137.879534,
2025-02-04,166464803.011070,12.317647%,0.033747%,56157.887302,9203295.766836,
2025-02-05,166518659.398915,11.808852%,0.032353%,53856.387845,9257152.154681,
2025-02-06,166568981.083665,11.030244%,0.030220%,50321.684750,9307473.839432,
2025-02-07,166614374.184854,9.946919%,0.027252%,45393.101189,9352866.940621,
2025-02-08,166668334.759842,11.821075%,0.032387%,53960.574987,9406827.515608,
2025-02-09,166716780.665582,10.609547%,0.029067%,48445.905740,9455273.421348,
2025-02-10,166768623.602622,11.350190%,0.031096%,51842.937040,9507116.358388,
2025-02-11,166816540.465803,10.487377%,0.028733%,47916.863181,9555033.221569,
2025-02-12,166862880.125050,10.139268%,0.027779%,46339.659247,9601372.880816,
2025-02-13,166902545.573445,8.676519%,0.023771%,39665.448395,9641038.329211,
2025-02-14,166947538.827511,9.839597%,0.026958%,44993.254066,9686031.583278,
2025-02-15,166992655.001905,9.863819%,0.027024%,45116.174394,9731147.757672,
2025-02-16,167043334.800556,11.077210%,0.030349%,50679.798650,9781827.556322,
2025-02-17,167087405.642678,9.629751%,0.026383%,44070.842123,9825898.398445,
2025-02-18,167131802.890906,9.698514%,0.026571%,44397.248227,9870295.646672,
2025-02-19,167166948.064132,7.675372%,0.021028%,35145.173226,9905440.819898,
2025-02-20,167205510.420561,8.419882%,0.023068%,38562.356429,9944003.176328,
2025-02-21,167250571.107739,9.836489%,0.026949%,45060.687178,9989063.863506,
2025-02-22,167294650.065360,9.619590%,0.026355%,44078.957621,10033142.821126,
2025-02-23,167336274.422493,9.081516%,0.024881%,41624.357133,10074767.178260,
2025-02-24,167377391.603482,8.968630%,0.024572%,41117.180989,10115884.359249,
2025-02-25,167418560.144985,8.977627%,0.024596%,41168.541502,10157052.900751,
2025-02-26,167463206.854145,9.733717%,0.026668%,44646.709161,10201699.609912,
2025-02-27,167514149.190795,11.103306%,0.030420%,50942.336650,10252641.946562,
2025-02-28,167569680.268993,12.099780%,0.033150%,55531.078197,10308173.024759,
2025-03-01,167614529.536644,9.769060%,0.026765%,44849.267651,10353022.292411,
2025-03-02,167663071.198063,10.570508%,0.028960%,48541.661418,10401563.953829,
